iso_ts,seq,temperature_c,humidity_pct,gas_ppm,motion,range_cm,ir_left,ir_right,pan_angle,tilt_angle,fw_state,uptime_ms,lat,lon,gps_fix,gps_sats,serial_ok,ws_clients,turn_status,alert_flags
2026-09-25T18:38:39.968+00:00,582,0,0,275,0,400,0,0,90,90,1,117562,,,0,0,1,1,unavailable,128
2026-09-25T18:38:41.221+00:00,588,0,0,275,0,400,0,0,90,90,1,119062,,,0,0,1,1,unavailable,128
2026-09-25T18:38:42.230+00:00,593,0,0,274,0,400,0,0,90,90,1,120064,,,0,0,1,1,unavailable,128
2026-09-25T18:38:43.346+00:00,599,0,0,274,0,400,0,0,90,90,1,121062,,,0,0,1,1,unavailable,128
2026-09-25T18:38:44.358+00:00,604,0,0,275,0,400,0,0,90,90,1,122064,,,0,0,1,1,unavailable,128
2026-09-25T18:38:45.626+00:00,610,0,0,275,0,400,0,0,90,90,1,123563,,,0,0,1,1,unavailable,128
2026-09-25T18:38:46.736+00:00,616,0,0,277,0,400,0,0,90,90,1,124566,,,0,0,1,1,unavailable,128
2026-09-25T18:38:47.957+00:00,622,0,0,277,0,400,0,0,90,90,1,125565,,,0,0,1,1,unavailable,128
2026-09-25T18:38:48.958+00:00,627,0,0,277,0,400,0,0,90,90,1,126566,,,0,0,1,1,unavailable,128
2026-09-25T18:38:50.025+00:00,632,0,0,277,0,400,0,0,90,90,1,127565,,,0,0,1,1,unavailable,128
2026-09-25T18:38:51.141+00:00,638,0,0,275,0,400,0,0,90,90,1,129068,,,0,0,1,1,unavailable,128
2026-09-25T18:38:52.349+00:00,644,0,0,277,0,400,0,0,90,90,1,130068,,,0,0,1,1,unavailable,128
2026-09-25T18:38:53.351+00:00,649,0,0,277,0,400,0,0,90,90,1,131068,,,0,0,1,1,unavailable,128
2026-09-25T18:38:54.355+00:00,654,0,0,276,0,400,0,0,90,90,1,132069,,,0,0,1,1,unavailable,128
2026-09-25T18:38:55.355+00:00,659,0,0,276,0,400,0,0,90,90,1,133068,,,0,0,1,1,unavailable,128
2026-09-25T18:38:56.402+00:00,664,0,0,276,0,400,0,0,90,90,1,134070,,,0,0,1,1,unavailable,128
2026-09-25T18:38:57.653+00:00,670,0,0,276,0,400,0,0,90,90,1,135569,,,0,0,1,1,unavailable,128
2026-09-25T18:38:58.660+00:00,675,0,0,276,0,400,0,0,90,90,1,136570,,,0,0,1,1,unavailable,128
2026-09-25T18:38:59.671+00:00,680,0,0,276,0,400,0,0,90,90,1,137570,,,0,0,1,1,unavailable,128
2026-09-25T18:39:00.789+00:00,686,0,0,275,0,400,0,0,90,90,1,138571,,,0,0,1,1,unavailable,128
2026-09-25T18:39:01.793+00:00,691,0,0,275,0,400,0,0,90,90,1,139571,,,0,0,1,1,unavailable,128
2026-09-25T18:39:02.896+00:00,696,0,0,274,0,400,0,0,90,90,1,140571,,,0,0,1,1,unavailable,128
2026-09-25T18:39:04.030+00:00,702,0,0,274,0,400,0,0,90,90,1,141571,,,0,0,1,1,unavailable,128
2026-09-25T18:39:05.313+00:00,708,0,0,274,0,400,0,0,90,90,1,143074,,,0,0,1,1,unavailable,128
2026-09-25T18:39:06.428+00:00,714,0,0,274,0,400,0,0,90,90,1,144075,,,0,0,1,1,unavailable,128
2026-09-25T18:39:07.453+00:00,719,0,0,274,0,400,0,0,90,90,1,145075,,,0,0,1,1,unavailable,128
2026-09-25T18:39:08.708+00:00,725,0,0,274,0,400,0,0,90,90,1,146576,,,0,0,1,1,unavailable,128
2026-09-25T18:39:09.915+00:00,731,0,0,274,0,400,0,0,90,90,1,147575,,,0,0,1,1,unavailable,128
2026-09-25T18:39:11.051+00:00,737,0,0,275,0,400,0,0,90,90,1,148575,,,0,0,1,1,unavailable,128
2026-09-25T18:39:12.052+00:00,742,0,0,275,0,400,0,0,90,90,1,149575,,,0,0,1,1,unavailable,128
2026-09-25T18:39:13.305+00:00,748,0,0,274,0,400,0,0,90,90,1,151078,,,0,0,1,1,unavailable,128
2026-09-25T18:39:14.320+00:00,753,0,0,274,0,400,0,0,90,90,1,152078,,,0,0,1,1,unavailable,128
2026-09-25T18:39:15.455+00:00,759,0,0,274,0,400,0,0,90,90,1,153077,,,0,0,1,1,unavailable,128
2026-09-25T18:39:16.732+00:00,765,0,0,274,0,400,0,0,90,90,1,154580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:17.746+00:00,770,0,0,274,0,400,0,0,90,90,1,155580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:18.767+00:00,775,0,0,275,0,400,0,0,90,90,1,156579,,,0,0,1,1,unavailable,128
2026-09-25T18:39:19.833+00:00,780,0,0,275,0,400,0,0,90,90,1,157579,,,0,0,1,1,unavailable,128
2026-09-25T18:39:20.834+00:00,785,0,0,275,0,400,0,0,90,90,1,158580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:21.855+00:00,790,0,0,275,0,400,0,0,90,90,1,159580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:22.943+00:00,795,0,0,274,0,400,0,0,90,90,1,160580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:23.945+00:00,800,0,0,274,0,400,0,0,90,90,1,161580,,,0,0,1,1,unavailable,128
2026-09-25T18:39:24.962+00:00,805,0,0,275,0,400,0,0,90,90,1,162582,,,0,0,1,1,unavailable,128
2026-09-25T18:39:26.080+00:00,811,0,0,275,0,400,0,0,90,90,1,163582,,,0,0,1,1,unavailable,128
2026-09-25T18:39:29.950+00:00,814,0,0,275,0,400,0,0,90,90,1,164584,,,0,0,1,1,unavailable,128
2026-09-25T18:39:31.105+00:00,819,0,0,274,0,400,0,0,90,90,1,168585,,,0,0,1,1,unavailable,128
2026-09-25T18:39:32.242+00:00,824,0,0,274,0,400,0,0,90,90,1,170087,,,0,0,1,1,unavailable,128
2026-09-25T18:39:33.265+00:00,829,0,0,274,0,400,0,0,90,90,1,171086,,,0,0,1,1,unavailable,128
2026-09-25T18:39:34.482+00:00,835,0,0,274,0,400,0,0,90,90,1,172088,,,0,0,1,1,unavailable,128
2026-09-25T18:39:35.641+00:00,841,0,0,274,0,400,0,0,90,90,1,173087,,,0,0,1,1,unavailable,128
2026-09-25T18:39:36.750+00:00,846,0,0,274,0,400,0,0,90,90,1,174587,,,0,0,1,1,unavailable,128
2026-09-25T18:39:37.771+00:00,851,0,0,274,0,400,0,0,90,90,1,175587,,,0,0,1,1,unavailable,128
2026-09-25T18:39:38.995+00:00,857,0,0,274,0,400,0,0,90,90,1,176589,,,0,0,1,1,unavailable,128
2026-09-25T18:39:40.263+00:00,863,0,0,275,0,400,0,0,90,90,1,178089,,,0,0,1,1,unavailable,128
